SampleName,Environment,SampleID,ExtractionMethod
DNACOMP-HUMAN-KIT-AE9678,HumanFecal,HUMAN-AE9678,KIT
DNACOMP-HUMAN-KIT-PY3111,HumanFecal,HUMAN-PY3111,KIT
DNACOMP-HUMAN-KIT-PY3199,HumanFecal,HUMAN-PY3199,KIT
DNACOMP-HUMAN-KIT-UZ5625,HumanFecal,HUMAN-UZ5625,KIT
DNACOMP-HUMAN-KIT-UZ5668,HumanFecal,HUMAN-UZ5668,KIT
DNACOMP-HUMAN-KIT-UZ5681,HumanFecal,HUMAN-UZ5681,KIT
DNACOMP-HUMAN-KIT-YM5460,HumanFecal,HUMAN-YM5460,KIT
DNACOMP-HUMAN-PC-AE9678,HumanFecal,HUMAN-AE9678,PC
DNACOMP-HUMAN-PC-PY3111,HumanFecal,HUMAN-PY3111,PC
DNACOMP-HUMAN-PC-PY3199,HumanFecal,HUMAN-PY3199,PC
DNACOMP-HUMAN-PC-UZ5625,HumanFecal,HUMAN-UZ5625,PC
DNACOMP-HUMAN-PC-UZ5668,HumanFecal,HUMAN-UZ5668,PC
DNACOMP-HUMAN-PC-UZ5681,HumanFecal,HUMAN-UZ5681,PC
DNACOMP-HUMAN-PC-YM5460,HumanFecal,HUMAN-YM5460,PC
DNACOMP-MOUSE-KIT-L5F,MouseFecal,MOUSE-L5F,KIT
DNACOMP-MOUSE-KIT-M5M,MouseFecal,MOUSE-M5M,KIT
DNACOMP-MOUSE-KIT-N5F,MouseFecal,MOUSE-N5F,KIT
DNACOMP-MOUSE-KIT-O5M,MouseFecal,MOUSE-O5M,KIT
DNACOMP-MOUSE-PC-L5F,MouseFecal,MOUSE-L5F,PC
DNACOMP-MOUSE-PC-M5M,MouseFecal,MOUSE-M5M,PC
DNACOMP-MOUSE-PC-N5F,MouseFecal,MOUSE-N5F,PC
DNACOMP-MOUSE-PC-O5M,MouseFecal,MOUSE-O5M,PC
DNACOMP-SOIL-KIT-A,Soil,SOIL-A,KIT
DNACOMP-SOIL-KIT-B,Soil,SOIL-B,KIT
DNACOMP-SOIL-PC-A,Soil,SOIL-A,PC
DNACOMP-SOIL-PC-B,Soil,SOIL-B,PC